数据集,模型,缺失率,预测长度,mse,mae
ETTm1,DUET,5,192,0.449495404958725,0.4586524963378906
ETTm1,DUET,5,192,0.449495404958725,0.4586524963378906
ETTm1,DUET,5,336,0.5083677172660828,0.4882583022117615
ETTm1,DUET,5,336,0.5083677172660828,0.4882583022117615
ETTm1,DUET,5,720,0.5817975997924805,0.5399254560470581
ETTm1,DUET,5,720,0.5817975997924805,0.5399254560470581
ETTm1,DUET,10,96,0.3955722451210022,0.4311704635620117
ETTm1,DUET,10,96,0.3955722451210022,0.4311704635620117
ETTm1,DUET,10,192,0.46509504318237305,0.4633423089981079
ETTm1,DUET,10,192,0.46509504318237305,0.4633423089981079
ETTm1,DUET,10,336,0.4893988370895386,0.4820807874202728
ETTm1,DUET,10,336,0.4893988370895386,0.4820807874202728
ETTm1,DUET,10,720,0.5689375996589661,0.5348212718963623
ETTm1,DUET,10,720,0.5689375996589661,0.5348212718963623
ETTm1,DUET,20,96,0.429164320230484,0.4547822177410126
ETTm1,DUET,20,96,0.429164320230484,0.4547822177410126
ETTm1,DUET,20,192,0.46950897574424744,0.4708436131477356
ETTm1,DUET,20,192,0.46950897574424744,0.4708436131477356
ETTm1,DUET,20,336,0.5312857031822205,0.5044212341308594
ETTm1,DUET,20,336,0.5312857031822205,0.5044212341308594
ETTm1,DUET,20,720,0.615149974822998,0.5534493923187256
ETTm1,DUET,20,720,0.615149974822998,0.5534493923187256
ETTm1,DUET,30,96,0.4366070032119751,0.45781850814819336
ETTm1,DUET,30,96,0.4366070032119751,0.45781850814819336
ETTm1,DUET,30,192,0.5159869194030762,0.4886147379875183
ETTm1,DUET,30,192,0.5159869194030762,0.4886147379875183
ETTm1,DUET,30,336,0.5516536831855774,0.5166732668876648
ETTm1,DUET,30,336,0.5516536831855774,0.5166732668876648
ETTm1,DUET,30,720,0.6357283592224121,0.5672167539596558
