2026-05-01 21:27:14,090 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:27:14,148 - INFO - >>>>>>>start training : 注意力只用周期且加tanh_96_96_TQNet_1_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:29:59,081 - INFO - Y_seasonal mean abs: 0.8480, output mean abs: 0.4825
2026-05-01 21:29:59,101 - INFO - Y_seasonal mean abs: 0.8476, output mean abs: 0.4862
2026-05-01 21:29:59,813 - INFO - Epoch: 3 cost time: 24.25056791305542
2026-05-01 21:30:21,822 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4693
2026-05-01 21:30:21,905 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4648
2026-05-01 21:30:21,950 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4645
2026-05-01 21:30:22,004 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4551
2026-05-01 21:30:22,040 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4713
2026-05-01 21:30:22,102 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4660
2026-05-01 21:30:44,788 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4889
2026-05-01 21:30:44,853 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4411
2026-05-01 21:30:44,916 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4459
2026-05-01 21:30:44,934 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.5244
2026-05-01 21:30:44,944 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.5014
2026-05-01 21:30:44,954 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4516
2026-05-01 21:30:44,963 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.5464
2026-05-01 21:30:44,976 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.5473
2026-05-01 21:30:44,986 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.5270
2026-05-01 21:30:44,996 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.5030
2026-05-01 21:30:45,008 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4534
2026-05-01 21:30:45,018 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4743
2026-05-01 21:30:45,031 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4646
2026-05-01 21:30:45,040 - INFO - Y_seasonal mean abs: 0.9259, output mean abs: 0.4855
2026-05-01 21:30:45,748 - INFO - Epoch: 3, Steps: 46 | Train Loss: 0.4195577 Vali Loss: 0.3592498 Test Loss: 0.4631862
2026-05-01 21:30:45,748 - INFO - Validation loss decreased (0.368770 --> 0.359250).  Saving model ...
2026-05-01 21:30:45,754 - INFO - Updating learning rate to 0.001
2026-05-01 21:31:08,087 - INFO - Y_seasonal mean abs: 0.8487, output mean abs: 0.4768
2026-05-01 21:31:08,270 - INFO - Y_seasonal mean abs: 0.8486, output mean abs: 0.4845
2026-05-01 21:31:08,351 - INFO - Y_seasonal mean abs: 0.8468, output mean abs: 0.4798
2026-05-01 21:31:08,376 - INFO - Y_seasonal mean abs: 0.8475, output mean abs: 0.4726
2026-05-01 21:31:08,396 - INFO - Y_seasonal mean abs: 0.8463, output mean abs: 0.4729
